"DAYDT";"WEEKOFYEARID";"YEARID";"MONTH"
"2010-05-29";21;2010;5
"2010-12-19";50;2010;12
"2010-11-22";47;2010;11
"2012-06-12";24;2012;6
"2011-09-25";38;2011;9
"2010-07-10";27;2010;7
"2012-10-03";40;2012;10
"2010-07-27";30;2010;7
"2011-03-05";9;2011;3
"2010-03-27";12;2010;3
"2012-11-11";45;2012;11
"2012-02-08";6;2012;2
"2012-11-25";47;2012;11
"2010-07-12";28;2010;7
"2012-07-16";29;2012;7
"2012-04-27";17;2012;4
"2010-04-03";13;2010;4
"2010-03-02";9;2010;3
"2011-10-11";41;2011;10
"2010-03-16";11;2010;3
"2012-01-19";3;2012;1
"2011-07-11";28;2011;7
"2012-09-14";37;2012;9
"2012-07-15";28;2012;7
"2012-09-23";38;2012;9
"2010-07-11";27;2010;7
"2010-03-06";9;2010;3
"2012-01-31";5;2012;1
"2010-05-28";21;2010;5
"2012-03-11";10;2012;3
"2011-06-29";26;2011;6
"2010-10-05";40;2010;10
"2010-12-09";49;2010;12
"2012-01-03";1;2012;1
"2012-10-22";43;2012;10
"2011-07-01";26;2011;7
"2011-09-17";37;2011;9
"2011-11-12";45;2011;11
"2010-04-07";14;2010;4
"2010-05-10";19;2010;5
"2010-02-05";5;2010;2
"2011-03-20";11;2011;3
"2012-04-21";16;2012;4
"2011-08-25";34;2011;8
"2012-12-26";52;2012;12
"2012-02-04";5;2012;2
"2010-12-21";51;2010;12
"2011-06-03";22;2011;6
"2010-12-22";51;2010;12
"2011-04-20";16;2011;4
"2010-11-08";45;2010;11
"2011-08-05";31;2011;8
"2011-08-26";34;2011;8
"2012-03-22";12;2012;3
"2011-08-03";31;2011;8
"2010-07-29";30;2010;7
"2012-01-18";3;2012;1
"2010-08-05";31;2010;8
"2010-02-22";8;2010;2
"2012-01-01";0;2012;1
"2011-01-30";4;2011;1
"2010-06-09";23;2010;6
"2010-10-28";43;2010;10
"2012-10-14";41;2012;10
"2012-04-12";15;2012;4
"2010-11-25";47;2010;11
"2011-08-24";34;2011;8
"2011-03-26";12;2011;3
"2011-01-13";2;2011;1
"2011-05-17";20;2011;5
"2010-04-09";14;2010;4
"2012-02-19";7;2012;2
"2011-01-15";2;2011;1
"2012-10-18";42;2012;10
"2011-01-11";2;2011;1
"2010-06-01";22;2010;6
"2011-10-28";43;2011;10
"2011-05-13";19;2011;5
"2012-03-07";10;2012;3
"2010-03-26";12;2010;3
"2010-02-18";7;2010;2
"2012-02-07";6;2012;2
"2010-12-26";51;2010;12
"2012-11-06";45;2012;11
"2011-02-13";6;2011;2
"2011-07-17";28;2011;7
"2010-08-01";30;2010;8
"2010-10-07";40;2010;10
"2012-06-11";24;2012;6
"2010-12-07";49;2010;12
"2011-10-13";41;2011;10
"2012-01-21";3;2012;1
"2010-05-31";22;2010;5
"2011-06-01";22;2011;6
"2011-11-29";48;2011;11
"2011-02-12";6;2011;2
"2012-08-18";33;2012;8
"2011-07-04";27;2011;7
"2010-08-09";32;2010;8
"2011-07-27";30;2011;7
"2012-09-10";37;2012;9
"2010-08-16";33;2010;8
"2011-06-18";24;2011;6
"2011-07-15";28;2011;7
"2010-04-28";17;2010;4
"2011-09-10";36;2011;9
"2010-09-18";37;2010;9
"2010-06-13";23;2010;6
"2012-01-16";3;2012;1
"2010-02-01";5;2010;2
"2011-10-16";41;2011;10
"2011-07-06";27;2011;7
"2011-01-28";4;2011;1
"2010-09-16";37;2010;9
"2011-04-18";16;2011;4
"2010-03-25";12;2010;3
"2010-06-20";24;2010;6
"2011-10-24";43;2011;10
"2010-07-06";27;2010;7
"2011-07-02";26;2011;7
"2011-12-16";50;2011;12
"2011-05-02";18;2011;5
"2011-08-23";34;2011;8
"2010-06-28";26;2010;6
"2011-02-15";7;2011;2
"2011-03-19";11;2011;3
"2010-03-23";12;2010;3
"2011-03-17";11;2011;3
"2011-09-06";36;2011;9
"2011-08-09";32;2011;8
"2012-11-04";44;2012;11
"2012-06-14";24;2012;6
"2012-01-07";1;2012;1
"2011-11-08";45;2011;11
"2010-10-26";43;2010;10
"2010-02-04";5;2010;2
"2012-12-08";49;2012;12
"2010-07-15";28;2010;7
"2012-10-05";40;2012;10
"2012-04-04";14;2012;4
"2010-11-17";46;2010;11
"2010-07-14";28;2010;7
"2010-05-06";18;2010;5
"2012-03-26";13;2012;3
"2011-04-16";15;2011;4
"2011-10-22";42;2011;10
"2011-12-29";52;2011;12
"2010-08-15";32;2010;8
"2010-10-21";42;2010;10
"2011-04-29";17;2011;4
"2011-04-06";14;2011;4
"2012-03-28";13;2012;3
"2010-04-06";14;2010;4
"2010-09-10";36;2010;9
"2011-01-08";1;2011;1
"2010-04-04";13;2010;4
"2010-12-04";48;2010;12
"2012-12-28";52;2012;12
"2010-02-25";8;2010;2
"2012-11-14";46;2012;11
"2010-03-05";9;2010;3
"2011-05-24";21;2011;5
"2011-04-13";15;2011;4
"2012-02-06";6;2012;2
"2011-04-01";13;2011;4
"2011-06-26";25;2011;6
"2010-08-17";33;2010;8
"2011-11-25";47;2011;11
"2012-12-20";51;2012;12
