Frequency,Recency,MonetaryValue,Cluster
1,325.0,77183.6,1
7,2.0,4310.000000000001,2
4,75.0,1797.24,0
1,18.0,1757.5500000000002,0
1,310.0,334.40000000000003,1
8,36.0,2506.0400000000004,2
1,204.0,89.0,3
1,232.0,1079.4,1
1,214.0,459.4,1
3,22.0,2811.43,0
1,33.0,6207.67,0
2,1.0,1168.06,0
4,57.0,6372.58,0
3,52.0,2662.06,0
1,287.0,189.9,1
10,3.0,5226.230000000001,2
2,109.0,552.0,3
4,7.0,1313.1,0
2,291.0,641.3799999999999,1
1,4.0,168.89999999999998,0
4,51.0,3545.69,0
2,44.0,1887.96,0
3,71.0,1298.0400000000002,0
1,311.0,364.6,1
1,25.0,742.93,0
2,10.0,457.5,0
2,315.0,1628.12,1
1,129.0,4008.62,3
2,81.0,852.24,0
4,21.0,2724.8100000000004,0
5,4.0,1845.3100000000004,0
5,184.0,1850.56,3
2,28.0,585.2700000000001,0
2,337.0,401.9,1
6,15.0,2780.6600000000003,0
1,79.0,549.84,0
1,21.0,460.89,0
4,72.0,1582.6,0
2,63.0,1272.48,0
12,19.0,3018.63,2
2,35.0,2409.9000000000005,0
1,45.0,1635.66,0
4,119.0,1108.65,3
1,303.0,84.3,1
1,323.0,225.6,1
1,49.0,427.7,0
1,148.0,1710.3900000000003,3
2,22.0,3415.3,0
5,49.0,1708.1199999999997,0
5,32.0,2888.55,0
3,78.0,11072.67,0
2,308.0,693.3299999999999,1
3,74.0,1226.88,0
3,66.0,758.1,0
3,217.0,562.41,1
21,24.0,124914.53,2
9,3.0,3649.1,2
1,112.0,668.58,3
1,63.0,600.3900000000001,0
4,15.0,807.0400000000001,0
3,95.0,803.5599999999998,3
8,0.0,1859.31,2
2,162.0,1760.9599999999996,3
1,78.0,777.1999999999999,0
1,194.0,582.73,3
3,21.0,825.8000000000001,0
9,25.0,7956.46,2
4,9.0,3750.4,0
1,43.0,256.4,0
15,35.0,6487.45,2
5,42.0,5059.319999999999,0
7,0.0,13375.87,2
2,84.0,806.14,0
2,79.0,7829.890000000001,0
1,99.0,509.01,3
18,1.0,4951.41,2
2,14.0,2906.8500000000004,0
1,366.0,173.55,1
1,3.0,172.06,0
5,21.0,5005.46,0
1,22.0,133.4,0
1,57.0,1002.31,0
1,243.0,476.49,1
1,44.0,449.4500000000001,0
4,22.0,4067.29,0
2,156.0,197.88,3
5,10.0,9035.52,0
2,16.0,430.57,0
1,134.0,707.09,3
1,56.0,3528.34,0
6,73.0,2466.86,0
3,44.0,3181.04,0
7,66.0,2363.23,0
2,71.0,947.4,0
2,94.0,826.88,3
2,18.0,1189.59,0
4,53.0,1344.7800000000002,0
8,10.0,1212.05,2
2,17.0,742.19,0
2,187.0,729.54,3
30,2.0,19824.050000000003,2
7,32.0,6572.110000000001,2
5,29.0,3938.55,0
18,17.0,7375.79,2
1,53.0,723.3799999999999,0
11,15.0,6816.42,2
6,22.0,13219.740000000002,2
1,3.0,680.9900000000001,0
1,11.0,527.2,0
4,28.0,3281.63,0
10,22.0,5596.320000000001,2
8,17.0,2484.98,2
6,32.0,4541.719999999999,2
3,9.0,1298.6600000000003,0
1,336.0,334.93,1
10,5.0,5417.93,2
1,38.0,460.4,0
2,63.0,263.21,0
2,165.0,433.74,3
7,15.0,1246.1,2
1,81.0,1043.1,0
3,21.0,403.7,0
11,23.0,4257.820000000001,2
1,336.0,2169.3900000000003,1
5,95.0,3723.87,3
2,18.0,482.05,0
1,232.0,73.50000000000001,1
3,134.0,1304.81,3
2,26.0,398.27,0
1,284.0,176.5,1
2,142.0,982.57,3
2,66.0,138.03,0
1,112.0,612.2900000000001,3
1,267.0,1017.68,1
1,353.0,383.7000000000001,1
2,77.0,1312.06,0
5,28.0,2502.84,0
5,0.0,2056.89,0
1,63.0,340.84000000000003,0
5,79.0,2634.26,0
1,142.0,599.68,3
2,39.0,192.72000000000003,0
11,19.0,1789.77,2
8,9.0,4485.719999999999,2
3,0.0,1316.6600000000003,0
3,81.0,348.71000000000004,0
6,9.0,1933.48,0
4,59.0,1662.28,0
1,14.0,125.22,0
1,30.0,349.83000000000004,0
1,130.0,1089.18,3
2,91.0,716.35,3
3,43.0,12601.830000000002,0
1,29.0,363.95,0
4,22.0,5568.35,0
17,19.0,13400.24,2
3,29.0,981.1800000000002,0
1,36.0,372.7000000000001,0
2,75.0,1000.39,0
2,46.0,1161.5,0
2,197.0,207.8,3
1,166.0,95.2,3
1,79.0,964.83,0
1,357.0,168.0,1
2,38.0,437.82,0
10,8.0,3692.28,2
2,50.0,603.7099999999999,0
5,16.0,11990.96,0
1,7.0,269.96000000000004,0
2,310.0,561.7099999999999,1
3,5.0,2134.01,0
1,302.0,238.85,1
7,8.0,3781.7400000000007,2
1,261.0,456.9,1
1,288.0,145.92000000000002,1
1,86.0,351.65,0
10,22.0,9401.28,2
32,2.0,4124.6900000000005,2
2,39.0,519.61,0
2,8.0,1020.42,0
1,227.0,160.54,1
1,315.0,218.45,1
5,35.0,1315.83,0
3,35.0,657.8,0
2,21.0,2794.51,0
1,78.0,440.42,0
1,246.0,415.7000000000001,1
1,39.0,197.71,0
2,238.0,511.3599999999999,1
15,2.0,7281.379999999999,2
9,3.0,2338.1500000000005,2
2,234.0,2040.1,1
1,17.0,196.94000000000003,0
1,7.0,144.0,0
1,39.0,214.9,0
2,28.0,646.6800000000001,0
2,211.0,9864.26,3
1,317.0,452.85,1
2,92.0,437.6,3
3,108.0,418.0999999999999,3
10,37.0,3338.2200000000003,2
2,51.0,618.27,0
4,19.0,3811.2199999999993,0
8,9.0,3023.0800000000004,2
7,29.0,1032.58,2
10,28.0,2599.04,2
5,189.0,577.0600000000001,3
1,58.0,153.12,0
1,21.0,739.1999999999999,0
2,79.0,254.18,0
1,60.0,1579.51,0
3,78.0,1126.85,0
5,22.0,2099.5400000000004,0
1,52.0,1193.32,0
1,74.0,704.04,0
5,57.0,3344.38,0
1,277.0,315.6,1
4,2.0,2291.19,0
2,95.0,713.3,3
1,29.0,355.53000000000003,0
1,21.0,177.31,0
9,16.0,3641.24,2
3,14.0,1339.41,0
20,1.0,13689.67,2
1,232.0,180.10000000000002,1
1,276.0,305.1,1
2,106.0,641.13,3
2,211.0,2683.82,3
9,23.0,6620.48,2
7,10.0,4478.530000000001,2
3,4.0,786.4599999999999,0
2,9.0,1270.88,0
1,57.0,640.5,0
4,58.0,2163.98,0
2,89.0,1689.18,0
8,67.0,6021.9,2
1,33.0,671.69,0
1,238.0,486.1,1
3,23.0,1174.58,0
1,115.0,185.9,3
3,25.0,1013.26,0
6,128.0,3344.6399999999994,3
1,129.0,477.91,3
4,33.0,1775.1800000000003,0
2,4.0,1346.97,0
12,22.0,3722.82,2
1,154.0,318.04999999999995,3
3,107.0,623.51,3
1,3.0,314.44,0
1,334.0,114.0,1
1,331.0,919.98,1
2,148.0,2209.85,3
5,10.0,601.9799999999999,0
5,17.0,4051.17,0
4,11.0,1643.18,0
1,18.0,686.05,0
1,29.0,91.68,0
1,11.0,245.1,0
11,0.0,3849.78,2
9,8.0,4881.88,2
1,324.0,63.0,1
1,58.0,620.1300000000001,0
4,11.0,3807.15,0
3,150.0,2744.03,3
5,10.0,2996.0500000000006,0
1,329.0,225.9,1
2,5.0,610.52,0
4,38.0,1970.6,0
6,24.0,1331.39,0
12,42.0,17628.46,2
4,58.0,1113.02,0
4,0.0,862.8100000000002,0
22,14.0,13787.54,2
31,3.0,12288.22,2
15,4.0,8476.57,2
7,7.0,2283.63,2
6,28.0,2863.08,0
1,371.0,89.14,1
1,113.0,4873.81,3
2,25.0,1247.61,0
1,205.0,389.01,3
6,28.0,1035.8,0
4,127.0,855.9099999999999,3
2,70.0,869.67,0
4,7.0,582.1,0
3,28.0,957.59,0
4,7.0,4939.99,0
2,79.0,797.71,0
1,19.0,219.0,0
1,71.0,283.55,0
8,7.0,2340.84,2
9,15.0,6868.290000000001,2
1,291.0,603.42,1
10,29.0,2712.91,2
15,15.0,9736.52,2
3,96.0,1149.0200000000002,3
13,28.0,4396.13,2
1,0.0,848.55,0
5,9.0,4708.860000000001,0
1,106.0,353.86,3
2,3.0,1053.4900000000002,0
2,151.0,1030.98,3
1,71.0,238.25,0
2,5.0,644.95,0
25,2.0,5781.73,2
6,31.0,2656.13,0
4,85.0,997.63,0
5,3.0,725.0700000000002,0
4,5.0,1031.41,0
1,371.0,427.8,1
7,28.0,2609.1,2
7,10.0,3980.7,2
4,71.0,836.3299999999999,0
1,113.0,453.0100000000001,3
12,23.0,18895.910000000003,2
1,179.0,236.26000000000005,3
1,234.0,383.95,1
1,352.0,110.4,1
2,315.0,779.57,1
1,332.0,234.00000000000003,1
1,372.0,155.35,1
2,78.0,1013.04,0
1,63.0,427.6,0
2,134.0,546.4300000000001,3
7,51.0,21279.29,2
11,2.0,4196.009999999999,2
209,0.0,33719.73,2
5,3.0,4090.88,0
1,128.0,275.88,3
1,81.0,4366.780000000001,0
6,22.0,21429.39,2
3,235.0,3010.7400000000007,1
2,280.0,3811.95,1
1,86.0,112.08,0
13,15.0,7857.1,2
2,116.0,2791.59,3
3,52.0,1531.44,0
2,7.0,1898.5200000000004,0
2,138.0,494.08,3
1,316.0,1693.88,1
7,3.0,6989.63,2
1,238.0,1143.6,1
1,210.0,1351.4499999999998,1
1,59.0,892.4700000000001,0
5,17.0,1386.0400000000002,0
6,19.0,822.23,0
8,37.0,3981.36,2
2,63.0,826.74,0
5,4.0,2330.9200000000005,0
6,2.0,2225.91,0
2,9.0,574.4200000000001,0
1,364.0,311.95,1
3,9.0,463.66,0
1,65.0,91.85,0
1,192.0,324.9200000000001,3
1,373.0,192.6,1
1,256.0,400.54,1
2,334.0,545.48,1
2,53.0,860.41,0
1,18.0,430.48,0
1,365.0,254.03,1
3,10.0,6977.04,0
1,186.0,427.5799999999999,3
3,36.0,483.65,0
1,177.0,489.31,3
3,260.0,514.8499999999999,1
1,44.0,229.64,0
1,101.0,125.92,3
2,147.0,1063.46,3
