CustomerID,ProductID,Recomendación_1,Recomendación_2,Recomendación_3,Recomendación_4,Recomendación_5
12346.0,MEDIUM CERAMIC TOP STORAGE JAR,LARGE CERAMIC TOP STORAGE JAR,SMALL CERAMIC TOP STORAGE JAR ,SET OF 4 PANTRY JELLY MOULDS,SET OF 60 PANTRY DESIGN CAKE CASES ,SET OF 6 SPICE TINS PANTRY DESIGN
12347.0,ICE CREAM SUNDAE LIP GLOSS,DOUGHNUT LIP GLOSS ,ICE CREAM PEN LIP GLOSS ,KNICKERBOCKERGLORY MAGNET ASSORTED ,BUBBLEGUM RING ASSORTED,STRAWBERRY LUNCH BOX WITH CUTLERY
12348.0,PACK OF 12 WOODLAND TISSUES ,PACK OF 12 SPACEBOY TISSUES,PACK OF 12 SUKI TISSUES ,PACK OF 12 RED RETROSPOT TISSUES ,PACK OF 12 SKULL TISSUES,PACK OF 12 CIRCUS PARADE TISSUES 
12349.0,SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX,PINK DOUGHNUT TRINKET POT ,MINI CAKE STAND WITH HANGING CAKES,STRAWBERRY FAIRY CAKE TEAPOT,CERAMIC STRAWBERRY CAKE MONEY BANK
12350.0,TEA BAG PLATE RED RETROSPOT,RED SPOTTY BISCUIT TIN,RED RETROSPOT SMALL MILK JUG,PACK OF 72 RETROSPOT CAKE CASES,RED RETROSPOT BUTTER DISH,RED RETROSPOT OVEN GLOVE 
12352.0,SET 12 COLOUR PENCILS SPACEBOY ,SET 12 COLOUR PENCILS DOLLY GIRL ,12 PENCIL SMALL TUBE WOODLAND,SET 12 COLOURING PENCILS DOILY,12 PENCILS SMALL TUBE RED RETROSPOT,SET 12 COLOUR PENCILS LOVE LONDON
12353.0,MINI CAKE STAND WITH HANGING CAKES,CERAMIC CAKE STAND + HANGING CAKES,MINI CAKE STAND  HANGING STRAWBERY,CERAMIC CAKE BOWL + HANGING CAKES,CERAMIC CAKE DESIGN SPOTTED PLATE,CERAMIC BOWL WITH STRAWBERRY DESIGN
12354.0,BLUE POLKADOT CUP,PINK  POLKADOT CUP,BLUE POLKADOT PLATE ,RED RETROSPOT CUP,BLUE POLKADOT BOWL,RED RETROSPOT PLATE 
12355.0,ICE CREAM SUNDAE LIP GLOSS,DOUGHNUT LIP GLOSS ,ICE CREAM PEN LIP GLOSS ,KNICKERBOCKERGLORY MAGNET ASSORTED ,BUBBLEGUM RING ASSORTED,STRAWBERRY LUNCH BOX WITH CUTLERY
12356.0,72 SWEETHEART FAIRY CAKE CASES,60 TEATIME FAIRY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 60 SPACEBOY CAKE CASES
12357.0,HAND WARMER RED POLKA DOT,HAND WARMER SCOTTY DOG DESIGN,HAND WARMER UNION JACK,HAND WARMER OWL DESIGN,HAND WARMER RED LOVE HEART,HAND WARMER BIRD DESIGN
12358.0,CERAMIC STRAWBERRY CAKE MONEY BANK,CERAMIC HEART FAIRY CAKE MONEY BANK,CERAMIC CHERRY CAKE MONEY BANK,STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX,CERAMIC STRAWBERRY DESIGN MUG
12359.0,WRAP WEDDING DAY,CARD WEDDING DAY,TEA PARTY  WRAPPING PAPER ,RING OF ROSES BIRTHDAY CARD,RAINY LADIES BIRTHDAY CARD,"WRAP, BILLBOARD FONTS DESIGN"
12360.0,MINI PAINT SET VINTAGE ,MINI JIGSAW SPACEBOY,MAGIC DRAWING SLATE DOLLY GIRL ,MAGIC DRAWING SLATE SPACEBOY ,RED  HARMONICA IN BOX ,SPACEBOY LUNCH BOX 
12361.0,DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX ,CIRCUS PARADE LUNCH BOX , DOLLY GIRL BEAKER,SPACEBOY BEAKER,LUNCH BAG DOLLY GIRL DESIGN
12362.0,DINOSAUR KEYRINGS ASSORTED,ASSORTED CREEPY CRAWLIES,SKULLS  STICKERS,BALLOON WATER BOMB PACK OF 35,ASSTD DESIGN RACING CAR PEN,BUTTERFLIES STICKERS
12363.0,60 CAKE CASES VINTAGE CHRISTMAS,SET OF 20 VINTAGE CHRISTMAS NAPKINS,36 DOILIES VINTAGE CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,SET OF 60 PANTRY DESIGN CAKE CASES ,PACK OF 72 RETROSPOT CAKE CASES
12364.0,BUBBLEGUM RING ASSORTED,WORLD WAR 2 GLIDERS ASSTD DESIGNS,DOUGHNUT LIP GLOSS ,LUNCH BAG ALPHABET DESIGN,ICE CREAM SUNDAE LIP GLOSS,LUNCH BAG SUKI  DESIGN 
12365.0,PARTY CONES CANDY ASSORTED,PARTY CONES CANDY TREE DECORATION,PARTY CONES CARNIVAL ASSORTED,PINK PARTY BAGS,DIAMANTE HAIR GRIP PACK/2 LT ROSE,PAIR OF PINK FLOWER CLUSTER SLIDE
12367.0,SLEEPING CAT ERASERS,KITTY PENCIL ERASERS,PARTY TIME PENCIL ERASERS,DOGGY RUBBER,LETTER SHAPE PENCIL SHARPENER,PENS ASSORTED FUNNY FACE
12370.0,GIRLS ALPHABET IRON ON PATCHES ,BOYS ALPHABET IRON ON PATCHES,YULETIDE IMAGES S/6 PAPER BOXES,MULTI HEARTS  STICKERS,CHAMPAGNE TRAY BLANK CARD,CAKE SHOP  STICKER SHEET
12371.0,GRAND CHOCOLATECANDLE,6 CHOCOLATE LOVE HEART T-LIGHTS,HOMEMADE JAM SCENTED CANDLES,RED HANGING HEART T-LIGHT HOLDER,COFFEE SCENT PILLAR CANDLE,CANDLEHOLDER PINK HANGING HEART
12372.0,PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN WOODLAND ANIMALS,PLASTERS IN TIN CIRCUS PARADE ,PLASTERS IN TIN STRONGMAN,PLASTERS IN TIN VINTAGE PAISLEY ,PLASTERS IN TIN SKULLS
12373.0,RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,STRAWBERRY CHARLOTTE BAG,WOODLAND CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,CHARLOTTE BAG APPLES DESIGN
12374.0,72 SWEETHEART FAIRY CAKE CASES,60 TEATIME FAIRY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 60 SPACEBOY CAKE CASES
12375.0,JUMBO BAG PEARS,JUMBO BAG APPLES,JUMBO BAG VINTAGE LEAF,JUMBO BAG DOILEY PATTERNS,JUMBO BAG ALPHABET,JUMBO BAG RED RETROSPOT
12377.0,BIRTHDAY PARTY CORDON BARRIER TAPE,HEN PARTY CORDON BARRIER TAPE,FIRST CLASS HOLIDAY PURSE ,PARTY METAL SIGN ,MIRRORED WALL ART GENTS,ST GEORGE SET OF 10 PARTY LIGHTS
12378.0,GIRLS ALPHABET IRON ON PATCHES ,BOYS ALPHABET IRON ON PATCHES,YULETIDE IMAGES S/6 PAPER BOXES,MULTI HEARTS  STICKERS,CHAMPAGNE TRAY BLANK CARD,CAKE SHOP  STICKER SHEET
12379.0,POLKADOT PEN,FUNKY DIVA PEN,LUNCH BAG RED RETROSPOT,JUMBO BAG RED RETROSPOT,RED RETROSPOT WRAP ,CHARLOTTE BAG APPLES DESIGN
12380.0,MINI LIGHTS WOODLAND MUSHROOMS,RABBIT NIGHT LIGHT,RED TOADSTOOL LED NIGHT LIGHT,WOODLAND SMALL RED FELT HEART,WOODLAND MINI BACKPACK,ROUND SNACK BOXES SET OF4 WOODLAND 
12381.0,MINI PAINT SET VINTAGE ,MINI JIGSAW SPACEBOY,MAGIC DRAWING SLATE DOLLY GIRL ,MAGIC DRAWING SLATE SPACEBOY ,RED  HARMONICA IN BOX ,SPACEBOY LUNCH BOX 
12383.0,PACK OF 12 TRADITIONAL CRAYONS,PACK OF 12 COLOURED PENCILS,TRADITIONAL MODELLING CLAY,WOODEN SCHOOL COLOURING SET,SET 12 KIDS COLOUR  CHALK STICKS,WOODEN BOX OF DOMINOES
12384.0,BIRDCAGE DECORATION TEALIGHT HOLDER,ROUND ARTICULATED PINK CLOCK W/SUCK,HEART DECORATION PAINTED ZINC ,ENVELOPE 50 CURIOUS IMAGES,SET/6 POSIES PAPER CUPS,TRAVEL CARD WALLET SUKI
12386.0,ASSORTED BOTTLE TOP  MAGNETS ,FRIDGE MAGNETS US DINER ASSORTED,FRIDGE MAGNETS LES ENFANTS ASSORTED,FRIDGE MAGNETS LA VIE EN ROSE,MAGNETS PACK OF 4 RETRO PHOTO,MAGNETS PACK OF 4 SWALLOWS
12388.0,HANGING MINI COLOURED BOTTLES,HANGING CLEAR MINI BOTTLE,WRAP A PRETTY THANK YOU,SET 6 SCHOOL MILK BOTTLES IN CRATE,ZINC T-LIGHT HOLDER STARS SMALL,ROUND WHITE CONFETTI IN TUBE
12390.0,MINI PAINT SET VINTAGE ,MINI JIGSAW SPACEBOY,MAGIC DRAWING SLATE DOLLY GIRL ,MAGIC DRAWING SLATE SPACEBOY ,RED  HARMONICA IN BOX ,SPACEBOY LUNCH BOX 
12391.0,PARTY TIME PENCIL ERASERS,KITTY PENCIL ERASERS,SLEEPING CAT ERASERS,DOGGY RUBBER,LETTER SHAPE PENCIL SHARPENER,RECYCLED PENCIL WITH RABBIT ERASER
12393.0,SILK PURSE BABUSHKA RED,SILK PURSE BABUSHKA BLUE,SILK PURSE BABUSHKA PINK,HOT WATER BOTTLE BABUSHKA ,FLORAL SOFT CAR TOY,GOLD WASHBAG
12394.0,SET OF 12 MINI LOAF BAKING CASES,SET OF 6 SNACK LOAF BAKING CASES,SET OF 12 FAIRY CAKE BAKING CASES,SET OF 6 TEA TIME BAKING CASES,SET OF 60 PANTRY DESIGN CAKE CASES ,SET 40 HEART SHAPE PETIT FOUR CASES
12395.0,PACK OF 72 RETROSPOT CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,60 TEATIME FAIRY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,PACK OF 72 SKULL CAKE CASES
12397.0,MINI PAINT SET VINTAGE ,MINI JIGSAW SPACEBOY,MAGIC DRAWING SLATE DOLLY GIRL ,MAGIC DRAWING SLATE SPACEBOY ,RED  HARMONICA IN BOX ,SPACEBOY LUNCH BOX 
12398.0,MINI PAINT SET VINTAGE ,MINI JIGSAW SPACEBOY,MAGIC DRAWING SLATE DOLLY GIRL ,MAGIC DRAWING SLATE SPACEBOY ,RED  HARMONICA IN BOX ,SPACEBOY LUNCH BOX 
12399.0,MINI PAINT SET VINTAGE ,MINI JIGSAW SPACEBOY,MAGIC DRAWING SLATE DOLLY GIRL ,MAGIC DRAWING SLATE SPACEBOY ,RED  HARMONICA IN BOX ,SPACEBOY LUNCH BOX 
12401.0,CHERRY BLOSSOM DECORATIVE FLASK,CHERRY BLOSSOM  DECORATIVE FLASK,RED PURSE WITH PINK HEART,SET OF 16 VINTAGE PISTACHIO CUTLERY,DROP DIAMANTE EARRINGS CRYSTAL,BLUE HOLE PUNCH
12402.0,DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX ,CIRCUS PARADE LUNCH BOX , DOLLY GIRL BEAKER,SPACEBOY BEAKER,LUNCH BAG DOLLY GIRL DESIGN
12403.0,PINK 3 PIECE POLKADOT CUTLERY SET,BLUE 3 PIECE POLKADOT CUTLERY SET,RED 3 PIECE RETROSPOT CUTLERY SET,GREEN 3 PIECE POLKADOT CUTLERY SET,CHILDRENS CUTLERY SPACEBOY ,PINK  POLKADOT CUP
12405.0,BLUE POLKADOT BEAKER ,RED POLKADOT BEAKER ,BLUE POLKADOT COFFEE MUG,BLUE EGG  SPOON,DAIRY MAID TOASTRACK,CHARLIE AND LOLA TABLE TINS
12406.0,LUNCH BAG SUKI  DESIGN ,LUNCH BAG CARS BLUE,LUNCH BAG SPACEBOY DESIGN ,LUNCH BAG  BLACK SKULL.,LUNCH BAG RED RETROSPOT,LUNCH BAG PINK POLKADOT
